Stn Number,Latitude,Longitude,Elevation,First Year,Last Year,Number of Years,Stn Name
032064,-19.0074,146.2057,892,1964,2010,47,PALUMA IVY COTTAGE
032078,-18.6494,146.1769,11.8,1972,2010,39,INGHAM COMPOSITE
032086,-18.5225,146.0019,20,1975,2003,29,ABERGOWRIE BRIDGE
033002,-19.6169,147.3758,17,1951,2011,61,AYR DPI RESEARCH STN
033013,-20.5533,147.8464,196,1963,2010,48,COLLINSVILLE POST OFFICE
033021,-21.2667,148.9667,35,1970,1986,17,ETON POLICE STATION
033061,-20.4,148.5833,13,1969,1988,20,PROSERPINE POST OFFICE
033068,-21.1631,148.87,43,2000,2011,12,MIRANI MARY STREET
033087,-21.5286,149.0006,193,1963,2010,48,BARNGANAL BLUE MOUNTAIN
033090,-20.0464,147.2739,45.4,1968,1993,26,MILLAROO DPI
033119,-21.1172,149.2169,30.3,1959,2010,52,MACKAY M.O
033146,-21.4447,148.5306,280,1970,1998,29,HOMEVALE STATION
033152,-21.1558,148.8692,50,1970,2000,31,MIRANI
033172,-21.2042,148.5436,768,1972,2010,39,CREDITON
033247,-20.4925,148.555,19.7,1988,2010,23,PROSERPINE AIRPORT
033256,-22.1978,150.0928,17,1986,2008,23,LANGHAM
033257,-20.0151,148.2152,5,1987,2011,25,BOWEN AIRPORT
034002,-20.0781,146.2614,309.8,1964,1995,32,CHARTERS TOWERS POST OFFICE
034036,-20.175,146.3128,260,1972,1991,20,OAKMEADOWS
034038,-21.9947,148.0308,260,1986,2010,25,MORANBAH WATER TREATMENT PLANT
034084,-20.0464,146.2708,289.8,1993,2011,19,CHARTERS TOWERS AIRPORT
034099,-21.8948,148.6034,180,1998,2011,14,MT FLORA
035000,-23.65,146.6406,355,1963,2011,49,ALPHA POST OFFICE
035010,-22.6522,147.5583,341,1972,2010,39,BLAIR ATHOL
035025,-23.6455,149.3308,110,1963,2010,48,DINGO POST OFFICE
035029,-26.3564,150.0464,318,1972,2011,40,GILIGULGUL
035059,-24.4619,148.6261,214,1987,2010,24,ROLLESTON
035065,-24.123,148.0856,344.5,1969,2011,43,SPRINGSURE COMET ST
035069,-24.8819,146.2564,395.1,1963,2012,50,TAMBO POST OFFICE
035070,-25.6408,149.7958,199,1972,2011,40,TAROOM POST OFFICE
035090,-24.9586,148.3744,306,1972,2010,39,REWAN STATION
035098,-23.5,148.15,180,1962,1983,22,EMERALD DPI TOWN SITE
035104,-22.4,147.5333,327,1963,1982,20,KILMACOLM
035147,-23.4669,148.1519,188,1983,2009,27,EMERALD DPI FIELD STATION
035149,-24.8353,149.8003,168,2000,2011,12,BRIGALOW RESEARCH STN
035264,-23.5694,148.1756,189.4,1992,2011,20,EMERALD AIRPORT
035267,-22.4269,147.5483,319,1983,2011,29,COOVIN
036026,-24.2591,144.4406,203,1974,2011,38,ISISFORD POST OFFICE
036031,-23.4372,144.2769,192.2,1964,2010,47,LONGREACH AERO
036046,-21.6291,145.1166,282,1971,2011,41,TIREE
036047,-21.95,146.9517,195,1965,1985,21,TWIN HILLS POST OFFICE
037010,-19.9225,138.1214,231.2,1964,1997,34,CAMOOWEAL TOWNSHIP
037051,-22.3908,143.0386,181.9,1964,2012,49,WINTON POST OFFICE
038003,-22.9117,139.9039,161.8,1964,2011,48,BOULIA AIRPORT
038024,-25.4228,142.6564,126.3,1964,2012,49,WINDORAH POST OFFICE
038026,-25.8975,139.3472,46.6,2000,2011,12,BIRDSVILLE AIRPORT
039006,-24.3789,150.5164,175,1937,1996,60,BILOELA DPI
039061,-24.0428,150.8211,100,1975,1994,20,MANNERSLEY
039069,-23.6286,150.3867,248,1972,2011,40,WALTERHALL
039070,-25.1694,151.6375,165,1974,2010,37,MT PERRY THE PINES
039083,-23.3753,150.4775,10.4,1939,2011,73,ROCKHAMPTON AERO
039089,-24.4935,150.5709,193.1,1997,2011,15,THANGOOL AIRPORT
039090,-24.9503,150.0725,142,1951,1990,40,THEODORE DPI
039104,-24.8642,151.1247,239,1963,2011,49,MONTO TOWNSHIP
039123,-23.8553,151.2628,74.5,1961,2011,51,GLADSTONE RADAR
039128,-24.9069,152.323,30.8,1963,2011,49,BUNDABERG AERO
039140,-24.5333,151.3833,126,1966,1984,19,BUILYAN FORESTRY
039171,-25.6875,150.8689,260,1969,1997,29,NARAYEN RES STN
039297,-24.5272,151.3814,131,1984,2012,29,BUILYAN GUM STREET
039303,-25.2558,152.2819,95,1979,2012,34,CHILDERS SOUTH
039314,-24.1568,151.8889,41,1986,2011,26,SEVENTEEN SEVENTY
039330,-24.8931,151.0997,230.9,1993,2005,13,MONTO AIRPORT
039334,-24.0213,150.9603,66,1994,2011,18,HAZELDEAN
040004,-27.6297,152.7111,24.2,1961,2011,51,AMBERLEY AMO
040014,-28.0206,153.0131,106,1967,2011,45,BEAUDESERT CRYNA
040019,-26.9,152.15,442,1961,1988,28,BENARKIN FOREST STATION
040059,-26.4181,152.9128,110,1971,2012,42,COOROY COMPOSITE
040062,-26.8094,152.87,200,1960,2000,41,CROHAMHURST
040063,-27.1967,152.8244,68,1969,1998,30,DAYBORO POST OFFICE
040076,-27.1533,152.1683,501,1972,1989,18,ESK DALE WEST
040082,-27.5436,152.3375,89,1956,2011,56,UNIVERSITY OF QUEENSLAND GATTON
040093,-26.1831,152.6414,64.5,1963,2011,49,GYMPIE
040094,-27.8106,152.6653,61,1971,2011,41,HARRISVILLE POST OFFICE
040101,-27.6117,152.7608,39.9,1975,1994,20,IPSWICH
040102,-26.6639,152.4608,513,1972,2000,29,JIMNA COMPOSITE
040106,-26.5956,152.7281,107,1981,2010,30,KENILWORTH TOWNSHIP
040111,-26.0858,152.2381,159,1971,2011,41,KILKIVAN POST OFFICE
040112,-26.5544,151.8456,441.9,1963,2001,39,KINGAROY PRINCE STREET
040121,-26.7528,152.8519,425,2002,2011,10,MALENY TAMARIND ST
040126,-25.5161,152.7156,10.3,1964,2011,48,MARYBOROUGH
040133,-26.695,152.3967,243,1963,1977,15,MONSILDALE
040135,-28.0302,152.5529,183,1964,2011,48,MOOGERAH DAM
040152,-26.2422,151.9425,314,1972,2008,37,MURGON POST OFFICE
