Stn Number,Latitude,Longitude,Elevation (m AHD),First Year,Last Year,Number of Years,Stn Name
008050,-28.7769,114.605,3,1877,2012,136,GERALDTON TOWN
008051,-28.7953,114.6975,33,1941,2012,72,GERALDTON AIRPORT COMPARISON
008052,-28.17,114.7614,260,1919,2012,94,GLENEVA
008053,-30.75,116.7,,1912,1948,37,GLENMORE
008054,-30.7989,116.8936,280,1937,2010,74,GLENVAR
008057,-29.5486,115.0689,30,1951,2012,62,GREEN GROVE
008058,-29,114.8,27,1882,1971,90,GREENOUGH
008059,-28.7,114.7,,1913,1967,55,HILLRIVER FARM
008060,-29.0364,115.5536,240,1921,2012,92,SOUTH HOLMWOOD
008061,-30.2842,116.6328,340,1911,2012,102,HYDE PARK
